Title,Success
"Contributions to the phylogeny of Ixodes (Pholeoixodes) canisuga, I. (Ph.) kaiseri, I. (Ph.) hexagonus and a simple pictorial key for the identification of their females",9.29
Search for Baryon-Number Violating Ξb0 Oscillations,1
 Ruprecht-Karls-Universität Heidelberg,Journal Not Found
Does home neighbourhood supportiveness influence the location more than volume of adolescent's physical activity? An observational study using global positioning systems,6.64
High Rate of Recurrent De Novo Mutations in Developmental and Epileptic Encephalopathies,35.34
Post-operative patient-related risk factors for chronic pain after total knee replacement: A systematic review,7.59
Stabilisation of water-in-water emulsions by montmorillonite platelets,15.85
Interaction of surface cracks subjected to non-uniform distributions of stress,3.99
Understanding and predicting defect formation in automated fibre placement pre-preg laminates,12.92
Procedures for precise measurements of 135Cs/137Cs atom ratios in environmental samples at extreme dynamic ranges and ultra-trace levels by thermal ionization mass spectrometry,8.26
Avoiding the Conflation of Moral and Intellectual Virtues,2.52
Developing outcome measures assessing wound management and patient experience: A mixed methods study,4.59
Cholesterol depletion does not alter the capacitance or Ca handling of the surface or t-tubule membranes in mouse ventricular myocytes,Journal Not Found
A segmentation layout guarding technique to mitigate parasitic capacitance of integrated resistors,1.9
Atrial-ventricular differences in rabbit cardiac voltage-gated Na+ currents: Basis for atrial-selective block by ranolazine,5.75
Impact of variation in functions and delivery on the effectiveness of behavioural and mood management interventions for smoking cessation in people with depression: Protocol for a systematic review and meta-analysis,3.59
"Use of a primary care online consultation system, by whom, when and why: Evaluation of a pilot observational study in 36 general practices in South West England",12.59
Orienting the causal relationship between imprecisely measured traits using GWAS summary data,16.57
Quantitative guidance on how best to respond to a big nuclear accident,10.5
Age at death from a radiation-induced cancer based on the Marshall model for mortality period,8.5
Validating the J-value safety assessment tool against pan-national data,14.5
Sequence-dependent cargo recognition by SNX-BARs mediates retromer-independent transport of CI-MPR,30.52
Image-Guided Surgical Robotic System for Percutaneous Reduction of Joint Fractures,9.18
Understanding and Improving Recruitment to Randomised Controlled Trials: Qualitative Research Approaches,20.93
Perceiving the evil eye: Investigating hostile interpretation of ambiguous facial emotional expression in violent and non-violent offenders,4.01
Changes in marital quality over 6 years and its association with cardiovascular disease risk factorsm in men: Findings from the ALSPAC prospectiven cohort study,6.28
Direct observation of electron emission from CVD diamond grain boundaries by tunnelling atomic force microscopy independent of surface morphology,5.43
Cross-sectional study evaluating data quality of the National Cancer Registration and Analysis Service (NCRAS) prostate cancer registry data using the Cluster randomised trial of PSA testing for Prostate cancer (CAP),4.59
Attrition from Web-based cognitive testing: A repeated measures comparison of gamification techniques,5.5
Are food and drink retailers within NHS venues adhering to NICE Quality standard 94 guidance on childhood obesity? A cross-sectional study of two large secondary care NHS hospitals in England,3.59
J-value assessment of relocation measures following the nuclear power plant accidents at Chernobyl and Fukushima Daiichi,18.5
J-value assessment of remediation measures following the Chernobyl and Fukushima Daiichi nuclear power plant accidents,8.5
J-value assessment of the cost effectiveness of UK sheep meat restrictions after the 1986 Chernobyl accident,10.5
"Incidence of shoulder dislocations in the UK, 1995-2015: A population-based cohort study",3.59
"Stochastic coupled simulation of strong motion and tsunami for the 2011 Tohoku, Japan earthquake",11.57
The oncogenic transcription factor ERG represses the transcription of the tumour suppressor gene PTEN in prostate cancer cells,3.69
"The role of glycaemic and lipid risk factors in mediating the effect of BMI on coronary heart disease: a two-step, two-sample Mendelian randomisation study",11.09
Reimagining pheromone signalling in the model nematode Caenorhabditis elegans,8.57
Making the links between domestic violence and child safeguarding: an evidence-based pilot training for general practice,5.95
Patient-level and practice-level factors associated with consultation duration: A cross-sectional analysis of over one million consultations in English primary care,4.59
Economically optimal strategies for medium-term recovery after a major nuclear reactor accident,11.5
Renin-angiotensin system inhibitors and risk of fractures: a prospective cohort study and meta-analysis of published observational cohort studies,10.81
Moderators of wellbeing interventions: Why do some people respond more positively than others?,5.01
Identifying clinical features in primary care electronic health record studies: Methods for codelist development,3.59
3D fibre architecture of fibre-reinforced sand,4.38
Comparative assessment of the efficacy of onabotulinumtoxinA and oral therapies (anticholinergics and mirabegron) for overactive bladder: a systematic review and network meta-analysis,13.37
A comparison of methods for inferring causal relationships between genotype and phenotype using additional biological measurements,6.24
Presenting a food in multiple smaller units increases expected satiety,8.44
Continuity of primary care and emergency hospital admissions among older patients in England,5.76
A wavelet lifting approach to long-memory estimation,5.37
Microvascular ultrastructural changes precede cognitive impairment in the murine APPswe/PS1dE9 model of Alzheimer’s disease,11.08
"How paradata can illuminate technical, social and professional role changes between the Poverty in the UK (1967/1968) and Poverty and Social Exclusion in the UK (2012) surveys",2.07
Prolonged exposure of mouse and human podocytes to insulin induces insulin resistance through lysosomal and proteasomal degradation of the insulin receptor,7.09
What are older smokers' attitudes to quitting and how are they managed in primary care? An analysis of the cross-sectional English Smoking Toolkit Study,4.59
Unsupervised network analysis of the plastic supraoptic nucleus transcriptome predicts caprin2 regulatory interactions,Journal Not Found
Quantifying research output on poverty and non-communicable disease behavioural risk factors in low-income and lower middle-income countries: A bibliometric analysis,4.59
Synchrotron X-ray characterization of crack strain fields in polygranular graphite,9.76
Does organic farming enhance biodiversity in Mediterranean vineyards? A case study with bats and arachnids,11.32
"Comparisons of depression, anxiety, well-being, and perceptions of the built environment amongst adults seeking social, intermediate and market-rent accommodation in the former London Olympic Athletes’ Village",5.43
Exercise to preserve β-cell function in recent-onset Type 1 diabetes mellitus (EXTOD) – a randomized controlled pilot trial,6.66
Morphological evolution of the mammalian jaw adductor complex,13.32
Comparing Approaches to Deal With Non-Gaussianity of Rainfall Data in Kriging-Based Radar-Gauge Rainfall Merging,7.39
Quantitative Serum Nuclear Magnetic Resonance Metabolomics in Large-Scale Epidemiology: A Primer on -Omic Technologies,21.49
Associations of time of day with cardiovascular disease risk factors measured in older men: Results from the British Regional Heart Study,4.59
Adjunctive avatar therapy for mentalization-based treatment of borderline personality disorder: A mixed-methods feasibility study,2.82
Challenges Faced by Young Mothers with a Care History and Views of Stakeholders About the Potential for Group Family Nurse Partnership to Support Their Needs,2.34
Sampling of temporal networks: Methods and biases,5.14
"A pilot survey of farm animal welfare in Serbia, a country preparing for EU accession",Journal Not Found
Circulating total bilirubin and future risk of hypertension in the general population: The prevention of renal and vascular end-stage disease (PREVEND) prospective study and a mendelian randomization approach,8.42
Core Outcome Set-STAndards for Development: The COS-STAD recommendations,24.59
Randomized controlled trial and economic evaluation of nurse-led group support for young mothers during pregnancy and the first year postpartum versus usual care,4.17
To swim or not to swim: A population-level model of Xenopus tadpole decision making and locomotor behaviour,2.61
Clinical and patient-reported outcomes of SPARE – a randomised feasibility study of selective bladder preservation versus radical cystectomy,11.37
Modelling foetal exposure to maternal smoking using hepatoblasts from pluripotent stem cells,11.79
Extension and stress during continental breakup: Seismic anisotropy of the crust in Northern Afar,7.77
Atmospheric connections with the North Atlantic enhanced the deglacial warming in northeast China,9.42
Identifying influential neighbors in animal flocking,12.49
A practical approach to the management of nocturia,3.79
Clinical and microbiological features of infection in alcoholic hepatitis: an international cohort study,6.51
The number and distribution of AMPA receptor channels containing fast kinetic GluA3 and GluA4 subunits at auditory nerve synapses depend on the target cells,5.57
Vanishing twin syndrome among ART singletons and pregnancy outcomes,8.6
GLINT: Gravitational-wave laser INterferometry triangle,2.88
Whole-genome DNA methylation characteristics in pediatric precursor B cell acute lymphoblastic leukemia (BCP ALL),4.01
Genetic variants associated with susceptibility to idiopathic pulmonary fibrosis in people of European ancestry: a genome-wide association study,21.93
A scoring system predicting the clinical course of CLPB defect based on the foetal and neonatal presentation of 31 patients,6.3
Study of b b ¯ correlations in high energy proton-proton collisions,3
 M.,Journal Not Found
Measurement of CP observables in B ± → DK *± decays using two- and four-body D final states,3
 Gatchina,Journal Not Found
Measurement of CP violation in B 0 → J/ψK S 0 and B 0 → ψ(2S)K S 0 decays,1
 Clermont-Ferrand,Journal Not Found
Updated branching fraction measurements of B (s) 0 → K S 0 h + h ′ − decays,5
 Henryk Niewodniczanski Institute of Nuclear Physics Polish Academy of Sciences,Journal Not Found
Measurement of the triple-differential dijet cross section in proton-proton collisions at √s=8TeV and constraints on parton distribution functions,3
 U.,Journal Not Found
Measurements of the associated production of a Z boson and b jets in pp collisions at √s=8TeV,6
 Germany; Meyer,Journal Not Found
Search for pair production of vector-like T and B quarks in single-lepton final states using boosted jet substructure in proton-proton collisions at √s=13 TeV,12
 III. Physikalisches Institut B,Journal Not Found
Measurements of properties of the Higgs boson decaying into the four-lepton final state in pp collisions at √s=13 TeV,30
 Germany; Nehrkorn,Journal Not Found
Search for a light pseudoscalar Higgs boson produced in association with bottom quarks in pp collisions at √s=8 TeV,4
 Germany; Nowack,Journal Not Found
Search for electroweak production of charginos and neutralinos in WH events in proton-proton collisions at √s=13 TeV,7
 III. Physikalisches Institut B,Journal Not Found
Polymer sequencing by molecular machines: A framework for predicting the resolving power of a sliding contact force spectroscopy sequencing method,8.57
Observation of D0 Meson Decays to π+π-μ+μ- and K+K-μ+μ- Final States,5
 Ecole Polytechnique Fédérale de Lausanne (EPFL),Journal Not Found
Reference evapotranspiration retrievals from a mesoscale model based weather variables for soil moisture deficit estimation,3.37
"Prevalence, impact and care of foot problems in people with rheumatoid arthritis: Results from a United Kingdom based cross-sectional survey",3.09
Maternal eating disorders affect offspring cord blood DNA methylation: A prospective study,8.44
GLOFRIM v1.0-A globally applicable computational framework for integrated hydrological-hydrodynamic modelling,9.49
Ground and Airborne U.K. Measurements of Nitryl Chloride: An Investigation of the Role of Cl Atom Oxidation at Weybourne Atmospheric Observatory,Journal Not Found
Measurement of the differential cross sections for the associated production of a W boson and jets in proton-proton collisions at s =13 TeV,5
 Germany; Nehrkorn,Journal Not Found
Quantifying the influence of the terrestrial biosphere on glacial-interglacial climate dynamics,6.48
Multiple optimality criteria support ornithoscelida,Journal Not Found
Industrial-graded epoxy nanocomposites with mechanically dispersed multi-walled carbon nanotubes: Static and damping properties,5.02
Reductive Coupling of Acrylates with Ketones and Ketimines by a Nickel-Catalyzed Transfer-Hydrogenative Strategy,15.31
Consistency assessment of rating curve data in various locations using Bidirectional Reach (BReach),5.1
Performance of Leishmania PFR1 recombinant antigen in serological diagnosis of asymptomatic canine leishmaniosis by ELISA,4.16
"Effectiveness of household lockable pesticide storage to reduce pesticide self-poisoning in rural Asia: a community-based, cluster-randomised controlled trial",17.6
An Orthogonal Multi-input Integration System to Control Gene Expression in Escherichia coli,Journal Not Found
BSim 2.0: An Advanced Agent-Based Cell Simulator,Journal Not Found
Intergroup contact and peacebuilding: Promoting youth civic engagement in northern Ireland,Journal Not Found
Connecting processes with indefinite causal order and multi-time quantum states,10.28
Socio-ecological intervention to promote active commuting to work: Protocol and baseline findings of a cluster randomized controlled trial in Finland,4.41
Search for Higgs boson pair production in the bbττ final state in proton-proton collisions at (s)=8 TeV,8
 F.,Journal Not Found
Factors affecting the thickness of thermal aureoles,Journal Not Found
Investigating local policy drivers for alcohol harm prevention: A comparative case study of two local authorities in England,4.66
A proposed framework for developing quality assessment tools,6.52
Persistence of immunity after vaccination with a capsular group B meningococcal vaccine in 3 different toddler schedules,3.03
Age of sexual initiation and depression in adolescents: Data from the 1993 Pelotas (Brazil) Birth Cohort,5.97
Maternal BMI at the start of pregnancy and offspring epigenome-wide DNA methylation: Findings from the pregnancy and childhood epigenetics (PACE) consortium,17.31
The life-cycle of Riemann-Silberstein electromagnetic vortices,3.13
Epigenome-wide association study of asthma and wheeze in childhood and adolescence,12.44
Functional dichotomy in spinal-vs prefrontal-projecting locus coeruleus modules splits descending noradrenergic analgesia from ascending aversion and anxiety in rats,16.88
Measurement of the B± Meson Nuclear Modification Factor in Pb-Pb Collisions at sNN =5.02 TeV,12
 K.,Journal Not Found
Search for Supersymmetry in pp Collisions at s =13 TeV in the Single-Lepton Final State Using the Sum of Masses of Large-Radius Jets,9
 A.,Journal Not Found
Adiponectin controls the apoptosis and the expression of tight junction proteins in brain endothelial cells through AdipoR1 under beta amyloid toxicity,10.44
The BRIDGE HadCM3 family of climate models: HadCM3@Bristol v1.0,18.49
Deciphering the expression of climate change within the Lower Colorado River basin by stochastic simulation of convective rainfall,Journal Not Found
"Single Crystal, Luminescent Carbon Nitride Nanosheets Formed by Spontaneous Dissolution",32.07
Beyond excitation/inhibition imbalance in multidimensional models of neural circuit changes in brain disorders,15.88
Acceptability of dietary and physical activity lifestyle modification for men following radiotherapy or radical prostatectomy for localised prostate cancer: A qualitative investigation,3.04
Effectiveness of psychosocial interventions for reducing parental substance misuse,5.53
Search for leptophobic Z′ bosons decaying into four-lepton final states in proton–proton collisions at s=8TeV,3
 W.,Journal Not Found
An integrative approach to predicting the functional effects of small indels in non-coding regions of the human genome,5.49
A clinical severity scoring system for visceral leishmaniasis in immunocompetent patients in South Sudan,6.36
A descriptive pilot study of cytokine production following stimulation of ex-vivo whole blood with commercial therapeutic feline hydrolyzed diets in individual healthy immunotolerant cats,3.16
Improving calibration and validation of cosmic-ray neutron sensors in the light of spatial sensitivity,16.1
Particle-flow reconstruction and global event description with the CMS detector,81
 Hamburg,Journal Not Found
Integrin αIIbβ3 outside-in signaling,15.24
Cooperative oxygen sensing by the kidney and carotid body in blood pressure control,5.66
Optimal Temporal Resolution of Rainfall for Urban Applications and Uncertainty Propagation,6.29
Home parenteral nutrition for people with inoperable malignant bowel obstruction,5.53
Computational analysis of the mode of action of disopyramide and quinidine on heRG-linked short QT syndrome in human ventricles,7.66
Search for Charged Higgs Bosons Produced via Vector Boson Fusion and Decaying into a Pair of W and Z Bosons Using pp Collisions at s =13 TeV,10
 III. Physikalisches Institut B,Journal Not Found
Statistical analysis plan for the Urodynamics for Prostate Surgery Trial; Randomised Evaluation of Assessment Methods (UPSTREAM),5.17
Mutations in Membrin/GOSR2 Reveal Stringent Secretory Pathway Demands of Dendritic Growth and Synaptic Integrity,9.24
Risk factors for orofacial clefts in India: A case–control study,Journal Not Found
Crowdsourcing to promote HIV testing among MSM in China: Study protocol for a stepped wedge randomized controlled trial,10.17
"The bee, the flower, and the electric field: electric ecology and aerial electroreception",5.16
Genetic epidemiology and Mendelian randomization for informing disease therapeutics: Conceptual and methodological challenges,17.57
Guidelines for the use of chest radiographs in community-acquired pneumonia in children and adolescents,4.68
"O brother, where art thou? Investment in siblings for inclusive fitness benefits, not father absence, predicts earlier age at menarche",7.19
Vagueness and Aggregation in Multiple Sender Channels,1.83
Natural and bioinspired nanostructured bactericidal surfaces,43.05
Epidemiology of adult overweight recording and management by UK GPs: A systematic review,4.85
What Weak Measurements and Weak Values Really Mean: Reply to Kastner,5.05
Further validation of the affective bias test for predicting antidepressant and pro-depressant risk: effects of pharmacological and social manipulations in male and female rats,6.05
'Best interests' in paediatric intensive care: An empirical ethics study,4.02
Optimisation of a nano-positioning stage for a Transverse Dynamic Force Microscope,3.79
"Heater power control for multi-material, variable speed Automated Fibre Placement",10.92
"Substance use, criminal behaviour and psychiatric symptoms following childhood traumatic brain injury: findings from the ALSPAC cohort",9.05
"A longitudinal study to assess the frequency and cost of antivascular endothelial therapy, and inequalities in access, in England between 2005 and 2015",3.59
Maternal prenatal blood mercury is not adversely associated with offspring IQ at 8 years provided the mother eats fish: A British prebirth cohort study,11
Ophthalmic statistics note 12: Multivariable or multivariate: What's in a name?,4.26
Barriers and facilitators to healthy lifestyle and acceptability of a dietary and physical activity intervention among African Caribbean prostate cancer survivors in the UK: A qualitative study,4.59
"Habitual levels of higher, but not medium or low, impact physical activity are positively related to lower limb bone strength in older women: findings from a population-based study using accelerometers to classify impact magnitude",17.5
Patterns and correlates of active commuting in adults with type 2 diabetes: Cross-sectional evidence from UK Biobank,4.59
Metabolic profiling of gestational diabetes in obese women during pregnancy,11.09
"Soil Greenhouse Gas Fluxes, Environmental Controls, and the Partitioning of N2O Sources in UK Natural and Seminatural Land Use Types",Journal Not Found
Lung ultrasound for the diagnosis of community-acquired pneumonia in children,6.68
Computed tomography in children with community-acquired pneumonia,3.68
No evidence for binding of items to task-irrelevant backgrounds in visual working memory,6.24
Insights into the link between drug use and criminality: Lifetime offending of criminally-active opiate users,6.52
"Nucleophilicities of lewis bases b and electrophilicities of lewis acids a determined from the dissociation energies of complexes B· · · A Involving hydrogen bonds, tetrel bonds, pnictogen bonds, chalcogen bonds and halogen bonds",5.27
'What does that mean?': A qualitative exploration of the primary and secondary clinical care experiences of young people with continence problems in the UK,3.59
Impact of modern cattle feeding practices on milk fatty acid stable carbon isotope compositions emphasise the need for caution in selecting reference animal tissues and products for archaeological investigations,4.63
"Autoantibodies against voltage-gated potassium channel and glutamic acid decarboxylase in psychosis: A systematic review, meta-analysis, and case series",7.18
The perceived feasibility of methods to reduce publication bias,7.01
Line Detection as an Inverse Problem: Application to Lung Ultrasound Imaging,7.6
Modelling the impact of targeted anthelmintic treatment of cattle on dung fauna,5.87
VEGF-A165b protects against proteinuria in a mouse model with progressive depletion of all endogenous VEGF-A splice isoforms from the kidney,11.44
Silicate Weathering and Carbon Cycle Controls on the Oligocene-Miocene Transition Glaciation,Journal Not Found
How extreme dieting becomes compulsive: A novel hypothesis for the role of anxiety in the development and maintenance of anorexia nervosa,4.11
"Contrasting mechanisms of magma fragmentation during coeval magmatic and hydromagmatic activity: the Hverfjall Fires fissure eruption, Iceland",8.39
Markers of pubertal timing and leisure-time physical activity from ages 36 to 68 years: Findings from a British birth cohort,3.59
Producing the Product: A Case Study of Law and Its Absence,1.66
Genome-wide association study of facial emotion recognition in children and association with polygenic risk for mental health disorders,6.8
PICK1 regulates AMPA receptor endocytosis via direct interactions with AP2 α-appendage and dynamin,13.52
Evolutionary divergence in life history traits among populations of the Lake Malawi cichlid fish Astatotilapia calliptera,3.64
Prevention of suicide with regulations aimed at restricting access to highly hazardous pesticides: a systematic review of the international evidence,13.47
‘End of life could be on any ward really’: A qualitative study of hospital volunteers’ end-of-life care training needs and learning preferences,7.7
The effectiveness of styrene-maleic acid (SMA) copolymers for solubilisation of integral membrane proteins from SMA-accessible and SMA-resistant membranes,17.64
Effects of Excessive Alcohol Use on Antisocial Behavior Across Adolescence and Early Adulthood,5.96
Optimal duration of dual antiplatelet therapy after drug eluting stent implantation: A network meta-analysis,1.33
The years 2015-2016 in the European Heart Journal - Cardiovascular Imaging. Part I,5.23
Nuclei and nucleoli in embryo-like fossils from the Ediacaran Weng'an Biota,7.21
Application of multiple analysis methods in optimising complex residual stress characterisation,3.72
A guide to evaluating linkage quality for the analysis of linked data,7.6
The key role of glutamate 172 in the mechanism of type II NADH:quinone oxidoreductase of Staphylococcus aureus,9.27
Are survival and mortality rates associated with recruitment to clinical trials in teenage and young adult patients with acute lymphoblastic leukaemia? A retrospective observational analysis in England,6.59
Are objective measures of physical capability related to accelerated epigenetic age? Findings from a British birth cohort,5.59
Seasonal effects on geophysical–geotechnical relationships and their implications for electrical resistivity tomography monitoring of slopes,6.68
"Software application profile: Opal and mica: Open-source software solutions for epidemiological data management, harmonization and dissemination",10.6
Diurnal cortisol and mental well-being in middle and older age: Evidence from four cohort studies,3.59
Variation in the provision and practice of implant-based breast reconstruction in the UK: Results from the iBRA national practice questionnaire,5
"The effect of the pathological V72I, D109N and T190M missense mutations on the molecular structure of α-dystroglycan",6.01
"Diet of the prehistoric population of Rapa Nui (Easter Island, Chile) shows environmental adaptation and resilience",10.63
Evaluation of shared genetic aetiology between osteoarthritis and bone mineral density identifies SMAD3 as a novel osteoarthritis risk locus,12.31
"Common, low-frequency, and rare genetic variants associated with lipoprotein subclasses and triglyceride measures in Finnish men from the METSIM study",10.57
The effects of improving sleep on mental health (OASIS): a randomised controlled trial with mediation analysis,Journal Not Found
"Multimodality Imaging in Restrictive Cardiomyopathies: An EACVI expert consensus document In collaboration with the ""Working Group on myocardial and pericardial diseases"" of the European Society of Cardiology Endorsed by The Indian Academy of Echocardiography",7.23
Improved limit on the branching fraction of the rare decay K0 s→μ+ μ-,6
 F.,Journal Not Found
Study of prompt D 0 meson production in pPb collisions at √sNN=5 TeV,3
 T.,Journal Not Found
Search for new phenomena with the MT 2 variable in the all-hadronic final state produced in proton–proton collisions at √s=13TeV,35
 Hamburg,Journal Not Found
Search for light bosons in decays of the 125 GeV Higgs boson in proton-proton collisions at √s=8 TeV,11
 III. Physikalisches Institut A,Journal Not Found
Search for associated production of dark matter with a Higgs boson decaying to b b ¯ or γγ at √s=13 TeV,9
 C.,Journal Not Found
Search for top squark pair production in pp collisions at √s=13 TeV using single lepton events,22
 III. Physikalisches Institut B,Journal Not Found
Measurements of jet charge with dijet events in pp collisions at √s=8 TeV,2
 III. Physikalisches Institut B,Journal Not Found
Search for direct production of supersymmetric partners of the top quark in the all-jets final state in proton-proton collisions at √s=13 TeV,15
 Germany; Nowack,Journal Not Found
Measurement of the semileptonic t t ¯ + γ production cross section in pp collisions at √s=8 TeV,3
 A.,Journal Not Found
Search for new physics in the monophoton final state in proton-proton collisions at √s=13 TeV,9
 Germany; Kress,Journal Not Found
Measurements of the pp → Wγγ and pp → Zγγ cross sections and limits on anomalous quartic gauge couplings at √s=8 TeV,3
 Germany; Kress,Journal Not Found
Estimating the number of people who inject drugs in Australia,5.66
The Experimental Design Assistant,12.79
"Hydrological controls on DOC nitrate resource stoichiometry in a lowland, agricultural catchment, southern UK",9.1
Anthropogenic noise pollution from pile-driving disrupts the structure and dynamics of fish shoals,8.75
Fibroblast growth factors (FGFs) prime the limb specific shh enhancer for chromatin changes that balance histone acetylation mediated by e26 transformation-specific (ETS) factors,7.88
Characterisation of the cancer-associated glucocorticoid system: Key role of 11β-hydroxysteroid dehydrogenase type 2,12.75
Reconstructing Prehistoric African Population Structure,52.99
Expertise affects inter-observer agreement at peripheral locations within a brain tumor,3.21
A novel ex vivo model to investigate the underlying mechanisms in alzheimer’s disease,9.45
Variability and quasi-decadal changes in the methane budget over the period 2000-2012,18.44
"Miniprotein Design: Past, Present, and Prospects",31.79
Microarchitecture of the tsetse fly proboscis,7.29
Needle syringe programmes and opioid substitution therapy for preventing hepatitis C transmission in people who inject drugs,22.53
Investigating the importance of the local food environment for fruit and vegetable intake in older men and women in 20 UK towns: A cross-sectional analysis of two national cohorts using novel methods,8.64
"Global, regional, and national age-sex specifc mortality for 264 causes of death, 1980-2016: A systematic analysis for the Global Burden of Disease Study 2016",356
 VA,Journal Not Found
nan,nan
 University of Montreal,Journal Not Found
Measuring progress and projecting attainment on the basis of past trends of the health-related Sustainable Development Goals in 188 countries: An analysis from the Global Burden of Disease Study 2016,46
 New Delhi,Journal Not Found
nan,nan
 Department of Clinical Sciences Lund,Journal Not Found
"Global, regional, and national comparative risk assessment of 84 behavioural, environmental and occupational, and metabolic risks or clusters of risks, 1990-2016: A systematic analysis for the Global Burden of Disease Study 2016",260
 Huntington,Journal Not Found
nan,nan
 Norwegian Institute of Public Health,Journal Not Found
"Global, regional, and national under-5 mortality, adult mortality, age-specific mortality, and life expectancy, 1970-2016: A systematic analysis for the Global Burden of Disease Study 2016",106
 United States; Saudi Ministry of Health,Journal Not Found
nan,nan
 Harvard University,Journal Not Found
Transient deformation associated with explosive eruption measured at Masaya volcano (Nicaragua) using Interferometric Synthetic Aperture Radar,10.46
The Function and Therapeutic Potential of Long Non-coding RNAs in Cardiovascular Development and Disease,Journal Not Found
Dust deficiency in the interacting galaxy NGC 3077,Journal Not Found
Circularly polarized light detection in stomatopod crustaceans: A comparison of photoreceptors and possible function in six species,4.6
CD4:CD8 Ratio and CD8 Count as prognostic markers for mortality in human immunodeficiency virus-infected patients on antiretroviral therapy: The antiretroviral therapy cohort collaboration (ART-CC),12.42
Search for Low Mass Vector Resonances Decaying to Quark-Antiquark Pairs in Proton-Proton Collisions at s =13 TeV,10
 Germany; Nowack,Journal Not Found
Identification and functional annotation of genes differentially expressed in the reproductive tissues of the olive tree (Olea europaea L.) through the generation of subtractive libraries,5.14
Atmospheric processes affecting the separation of volcanic ash and SO2 in volcanic eruptions: Inferences from the May 2011 Grímsvötn eruption,9.44
A review of Grey and academic literature of evaluation guidance relevant to public health interventions,4.18
Conducting a team-based multi-sited focused ethnography in primary care,6.42
Subliminally and supraliminally acquired long-term memories jointly bias delayed decisions,3.21
A framework for probabilistic multi-hazard assessment of rain-triggered lahars using bayesian belief networks,Journal Not Found
"Comparison of four inverse modelling systems applied to the estimation of HFC-125, HFC-134a, and SF6 emissions over Europe",14.44
Observation of the Doubly Charmed Baryon Ξcc + +,100
 Institute of Physics,Journal Not Found
"The small molecule inhibitor YK-4-279 disrupts mitotic progression of neuroblastoma cells, overcomes drug resistance and synergizes with inhibitors of mitosis",9.26
A Multi-band Study of the Remarkable Jet in Quasar 4C+19.44,7.41
Search for single production of vector-like quarks decaying into a b quark and a W boson in proton–proton collisions at s=13TeV,8
 Hamburg,Journal Not Found
Cross section measurement of t-channel single top quark production in pp collisions at s=13TeV,26
 S.,Journal Not Found
Measurements of the charm jet cross section and nuclear modification factor in pPb collisions at sNN=5.02 TeV,8
 III. Physikalisches Institut B,Journal Not Found
Search for high-mass Zγ resonances in proton–proton collisions at s=8 and 13 TeV using jet substructure techniques,11
 M.,Journal Not Found
Coherent J/ψ photoproduction in ultra-peripheral PbPb collisions at sNN=2.76TeV with the CMS experiment,14
 III. Physikalisches Institut A,Journal Not Found
Search for anomalous couplings in boosted WW/WZ→ℓνqq‾ production in proton–proton collisions at s=8 TeV,9
 Germany,Journal Not Found
Search for standard model production of four top quarks in proton–proton collisions at s=13 TeV,9
 C.,Journal Not Found
Promiscuous bacteria have staying power,7.88
Uva-ursi extract and ibuprofen as alternative treatments of adult female urinary tract infection (ATAFUTI): Study protocol for a randomised controlled trial,4.17
Measurement of Bs0 and Ds- Meson Lifetimes,4
 Poland; Kucharczyk,Journal Not Found
The decay of Hopf solitons in the Skyrme model,3.74
Prospective associations of psychosocial adversity in childhood with risk factors for cardiovascular disease in adulthood: The MRC National Survey of Health and Development,3.04
THISTLE: Trial of hands-on Interprofessional simulation training for local emergencies: A research protocol for a stepped-wedge clustered randomised controlled trial,3.76
Concurrency-Induced Transitions in Epidemic Dynamics on Temporal Networks,11.58
Group Contribution Approach to Predict the Refractive Index of Pure Organic Components in Ambient Organic Aerosol,10.58
Controlled Formation of Hierarchical Metal-Organic Frameworks Using CO2-Expanded Solvent Systems,Journal Not Found
Development of a framework for the co-production and prototyping of public health interventions,4.66
Precise characterization of self-catalyzed III-V nanowire heterostructures via optical second harmonic generation,4.01
Recall and patient perceptions of hip precautions 6 weeks after total hip arthroplasty,6.83
Systematic review of self-management interventions for people with eczema,8.55
UK Renal Registry 19th Annual Report: Chapter 11 Centre Variation in Access to Kidney Transplantation (2010-2015),Journal Not Found
A generic framework for handling constraints with agent-based optimization algorithms and application to aerodynamic design,6.49
Taxidermy workshops: differently figuring the working of bodies and bodies at work in the past,6.93
What treatments work for anxiety in children with chronic fatigue syndrome/myalgic encephalomyelitis (CFS/ME)? Systematic review,4.59
"UK Renal Registry 19th Annual Report: Chapter 12 Multisite Dialysis Access Audit in England, Northern Ireland and Wales in 2015 and 2014 PD One Year Follow-up: National and Centre-specific Analyses",Journal Not Found
Diamond thin films: Giving biomedical applications a new shine,12.89
Treatment of intrahepatic congenital portosystemic shunts in dogs: a systematic review,4.2
Probabilistic characterization of seismic ground deformation due to tectonic fault movements,4.45
Genetic and environmental correlations between subjective wellbeing and experience of life events in adolescence,5.05
"Body mass index, body dissatisfaction and adolescent smoking initiation",8.52
The albatross plot: A novel graphical tool for presenting results of diversely reported studies in a systematic review,Journal Not Found
Associations between participation in organised physical activity in the school or community outside school hours and neighbourhood play with child physical activity and sedentary time: A cross-sectional analysis of primary school-aged children from the UK,9.59
The role of succinate and ROS in reperfusion injury – A critical appraisal,20.9
Systematic review of management of chronic pain after surgery,15.79
Exploring parents' screen-viewing behaviours and sedentary time in association with their attitudes toward their young child's screen-viewing,4.89
