Title,Total Abstract Length,Perc common English words,Perc common technical words,Perc keywords
Specialist treatment of chronic fatigue syndrome/ME: A cohort study among adult patients in England,254,31.89,21.65,46.46
Optimal background matching camouflage,289,35.29,17.65,47.06
Large-scale GWAS identifies multiple loci for hand grip strength providing biological insights into muscular fitness,245,39.59,18.37,42.04
The Antibiotic Guardian campaign: A qualitative evaluation of an online pledge-based system focused on making better use of antibiotics,185,32.97,20,47.03
Identifying inequitable healthcare in older people: Systematic review of current research practice,270,40.37,18.15,41.48
The evolution of process-based hydrologic models: Historical challenges and the collective quest for physical realism,209,36.36,21.53,42.11
Effects of dopamine on reinforcement learning and consolidation in parkinson’s disease,336,37.5,14.88,47.62
The Evolution of Calcium-Based Signalling in Plants,162,33.95,8.02,58.02
"Linear optical quantum metrology with single photons: Experimental errors, resource counting, and quantum Cramér-Rao bounds",306,34.97,14.71,50.33
Measurement of the mass difference between top quark and antiquark in pp collisions at s=8 TeV,187,39.04,11.76,49.2
 B.,229,26.64,16.59,56.77
"Suppression of ϒ(1S), ϒ(2S), and ϒ(3S) quarkonium states in PbPb collisions at sNN=2.76TeV",81,45.68,8.64,45.68
 Germany; Scheuch,246,36.18,17.07,46.75
Measurement of the cross section for electroweak production of Zγ in association with two jets and constraints on anomalous quartic gauge couplings in proton–proton collisions at s=8 TeV,245,28.98,20,51.02
 III. Physikalisches Institut B,288,27.43,15.28,57.29
Search for heavy gauge W′ bosons in events with an energetic lepton and large missing transverse momentum at s=13 TeV,295,27.12,10.17,62.71
 Aachen,190,37.37,13.68,48.95
Ultraviolet photochemistry of 2-bromothiophene explored using universal ionization detection and multi-mass velocity-map imaging with a PImMS2 sensor,252,38.1,14.68,47.22
Formaldehyde roaming dynamics: Comparison of quasi-classical trajectory calculations and experiments,265,33.96,22.64,43.4
Sarcolemmal distribution of ICa and INCX and Ca2+ autoregulation in mouse ventricular myocytes,253,32.81,21.74,45.45
"Characterizing and reducing equifinality by constraining a distributed catchment model with regional signatures, local observations, and process understanding",261,34.1,12.26,53.64
ALMA detection and astrobiological potential of vinyl cyanide on Titan,300,38.67,14.67,46.67
"Foreign, criminal: a doubly damned modern British folk-devil",220,37.27,10,52.73
Multi-source hydrological soil moisture state estimation using data fusion optimisation,183,33.33,8.74,57.92
"Assessing glacier melt contribution to streamflow at Universidad Glacier, central Andes of Chile",207,34.3,20.77,44.93
Auxin transport in the evolution of branching forms,218,30.28,14.68,55.05
Low alcohol consumption and pregnancy and childhood outcomes: Time to change guidelines indicating apparently 'safe' levels of alcohol during pregnancy? A systematic review and meta-analyses,254,26.77,11.81,61.42
Testing for homologies in the axial skeleton of primitive echinoderms,203,34.48,13.79,51.72
Spectral Bounds for the Torsion Function,348,28.45,6.32,65.23
"Colour preference in Odontodactylus scyllarus (Linnaeus, 1758) (Stomatopoda)",338,28.99,16.57,54.44
Statistical experimental design,200,30.5,13,56.5
P-splines with derivative based penalties and tensor product smoothing of unevenly distributed data,154,37.01,11.69,51.3
"Research protocol for platelets in out-of-hospital cardiac arrest: An observational, case-controlled, feasibility study to assess coagulation and platelet function abnormalities with ROTEM following out-of-hospital cardiac arrest (PoHCAR)",250,34.4,10.8,54.8
Individual variability in preference for energy-dense foods fails to predict child BMI percentile,128,39.06,7.81,53.12
Surviving the Holocaust: Socio-demographic Differences Among Amsterdam Jews,180,30.56,15,54.44
Strain imaging using cardiac magnetic resonance,354,28.53,16.95,54.52
Top down control of spinal sensorimotor circuits essential for survival,302,35.43,8.94,55.63
"The accessory Sec system (SecY2A2) in Streptococcus pneumoniae is involved in export of pneumolysin toxin, adhesion and biofilm formation",355,32.39,13.8,53.8
Development and validation of novel biomarker assays for osteoarthritis,286,33.92,15.03,51.05
Hypercholesterolaemia screening in Type 1 diabetes: a difference of opinion,153,31.37,10.46,58.17
Dietary intake and factors influencing eating behaviours in overweight and obese South Asian men living in the UK: Mixed method study,152,28.29,11.18,60.53
Examining the effectiveness of parental strategies to overcome bedwetting: An observational cohort study,204,35.78,10.78,53.43
Comparison of dietary intakes of 7-year-old children enrolled in observational birth cohort studies on the isle of man and in south-west England,267,41.57,13.86,44.57
The potential benefits of on-farm mitigation scenarios for reducing multiple pollutant loadings in prioritised agri-environment areas across England,565,34.51,12.39,53.1
"Preschool and school meal policies: An overview of what we know about regulation, implementation, and impact on diet in the UK, Sweden, and Australia",160,36.25,13.75,50
Whole-Blood Taurine Concentrations in Cats With Intestinal Disease,207,32.37,12.08,55.56
Bayesian tsunami fragility modeling considering input data uncertainty,330,35.45,14.85,49.7
Rationale and protocol for the after Diabetes Diagnosis REsearch Support System (ADDRESS): An incident and high risk type 1 diabetes UK cohort study,249,32.53,16.87,50.6
Smoking and caffeine consumption: a genetic analysis of their association,178,41.01,21.35,37.64
Maturation in serum thyroid function parameters over childhood and puberty: Results of a longitudinal study,173,38.15,7.51,54.34
J-Integral Calculation by Finite Element Processing of Measured Full-Field Surface Displacements,154,31.82,7.79,60.39
Meningococcal disease in the Middle East and Africa: Findings and updates from the Global Meningococcal Initiative,261,33.72,18.39,47.89
Patient use of blood pressure self-screening facilities in general practice waiting rooms: A qualitative study in the UK,262,32.44,15.27,52.29
How do moving and other major life events impact mental health? A longitudinal analysis of UK children,259,29.73,22.01,48.26
"Recovery of metallo-tolerant and antibiotic resistant psychrophilic bacteria from Siachen glacier, Pakistan",265,35.09,12.45,52.45
Sub-microscopic analysis of t-tubule geometry in living cardiac ventricular myocytes using a shape-based analysis method,182,43.41,14.84,41.76
Residual stress measurement round robin on an electron beam welded joint between austenitic stainless steel 316L(N) and ferritic steel P91,108,46.3,17.59,36.11
"""leaky Dielectric"" Model for the Suppression of Dynamic RON in Carbon-Doped AlGaN/GaN HEMTs",154,35.06,11.04,53.9
Germinal centre frequency is decreased in pancreatic lymph nodes from individuals with recent-onset type 1 diabetes,199,35.18,27.64,37.19
Low serum magnesium levels are associated with increased risk of fractures: a long-term prospective cohort study,130,40,13.08,46.92
The pharmacological and non-pharmacological treatment of attention deficit hyperactivity disorder in children and adolescents: A systematic review with network meta-analyses of randomised trials,246,36.18,11.79,52.03
High-resolution isotopic evidence of specialised cattle herding in the European Neolithic,204,23.53,10.78,65.69
Longitudinal study of the associations between change in sedentary behavior and change in adiposity during childhood and adolescence: Gateshead Millennium Study,243,38.68,17.28,44.03
"Adapting to changes in volcanic behaviour: Formal and informal interactions for enhanced risk management at Tungurahua Volcano, Ecuador",148,33.78,13.51,52.7
Associations of anthropometry since birth with sagittal posture at age 7 in a prospective birth cohort: The Generation XXI Study,204,28.43,12.25,59.31
Effect of boundary conditions on the evolution of lattice strains in a polycrystalline austenitic stainless steel,201,30.85,11.94,57.21
Switching of dominant retrotransposon silencing strategies from posttranscriptional to transcriptional mechanisms during male germ-cell development in mice,152,34.21,13.16,52.63
Development and validation of a clinical risk score to predict mortality after percutaneous coronary intervention,172,36.63,14.53,48.84
Multiple innovations underpinned branching form diversification in mosses,314,30.89,14.97,54.14
Dietary Diversity on the Swahili Coast: The Fauna from Two Zanzibar Trading Locales,1007,25.52,23.04,51.44
The impact of psychological factors on recovery from injury: a multicentre cohort study,322,34.16,15.84,50
Simulations of membrane-bound diglycosylated human prion protein reveal potential protective mechanisms against misfolding,258,36.82,10.47,52.71
Utility of the new Movement Disorder Society clinical diagnostic criteria for Parkinson's disease applied retrospectively in a large cohort study of recent onset cases,202,30.2,11.88,57.92
Baseline results from the UK SIGNIFY study: a whole-body MRI screening study in TP53 mutation carriers and matched controls,138,36.96,4.35,58.7
Crystal structure of the carboxy-terminal region of the bacteriophage T4 proximal long tail fiber protein Gp34,172,40.7,12.79,46.51
"Apolipoprotein(a) isoform size, lipoprotein(a) concentration, and coronary artery disease: a mendelian randomisation analysis",164,37.2,12.2,50.61
Introducing global peat-specific temperature and pH calibrations based on brGDGT bacterial lipids,162,38.27,17.28,44.44
Higgs physics at the CLIC electron–positron linear collider,405,34.07,13.58,52.35
Observation of the decay Bs 0 → ηc ϕ and evidence for Bs 0 → ηc π + π −,303,44.22,13.86,41.91
 T.,199,42.71,18.59,38.69
Observation of the B+ →d∗-K+π+ decay,349,30.09,18.34,51.58
 Novosibirsk,108,40.74,11.11,48.15
Measurement of double-differential cross sections for top quark pair production in pp collisions at √s=8TeV and impact on parton distribution functions,136,36.03,19.12,44.85
 K.,205,44.88,10.73,44.39
Measurement of the jet mass in highly boosted t t ¯ events from pp collisions at √s=8TeV,98,40.82,12.24,46.94
 Hamburg,83,36.14,14.46,49.4
Search for dark matter produced with an energetic jet or a hadronically decaying W or Z boson at √s=13 TeV,352,36.36,21.88,41.76
 III. Physikalisches Institut B,265,31.32,16.98,51.7
Search for third-generation scalar leptoquarks and heavy right-handed neutrinos in final states with two tau leptons and two jets in proton-proton collisions at √s=13 TeV,485,41.03,16.7,42.27
 Germany; Müller,286,23.78,22.73,53.5
Search for associated production of a Z boson with a single top quark and for tZ flavour-changing interactions in pp collisions at √s=8 TeV,264,34.85,14.77,50.38
 J.,164,25,9.15,65.85
Search for new physics with dijet angular distributions in proton-proton collisions at √s=13 TeV,80,28.75,8.75,62.5
 Germany; Pooth,187,36.9,20.32,42.78
Search for supersymmetry in the all-hadronic final state using top quark tagging in pp collisions at s =13 TeV,236,43.22,16.95,39.83
 Germany; Radziej,103,38.83,15.53,45.63
Search for t t ¯ resonances in highly boosted lepton+jets and fully hadronic final states in proton-proton collisions at √s=13 TeV,78,33.33,15.38,51.28
 Hamburg,82,34.15,6.1,59.76
"Caveat emptor: For researchers, a rose will not smell sweet unless we know its composition",83,31.33,10.84,57.83
Ductility potential of brittle epoxies: Thermomechanical behaviour of plastically-deformed fully-cured composite resins,82,26.83,14.63,58.54
In situ Response of Tropical coralline algae to a novel thermal regime,128,35.94,10.16,53.91
Damage tolerance of nuclear graphite at elevated temperatures,273,31.5,7.33,61.17
Common mechanism of thermodynamic and mechanical origin for ageing and crystallization of glasses,271,41.33,19.19,39.48
Complement-Related Regulates Autophagy in Neighboring Cells,206,46.12,13.59,40.29
The association between child and adolescent emotional disorder and poor attendance at school: A systematic review protocol,37,29.73,8.11,62.16
Association between maternal Vitamin D status in pregnancy and neurodevelopmental outcomes in childhood: Results from the Avon Longitudinal Study of Parents and Children (ALSPAC),263,40.68,23.57,35.74
Energy landscape analysis of neuroimaging data,73,36.99,20.55,42.47
To pass or not to pass: Modeling the movement and affordance dynamics of a pick and place task,215,32.09,17.21,50.7
Measurement of the CP Violation Parameter A Γ in D0 →k+K-and D0 →π+π-Decays,224,41.52,12.5,45.98
 Poland; Kudryavtsev,99,31.31,21.21,47.47
P-Type Silicon Strip Sensors for the new CMS Tracker at HL-LHC,200,33.5,15,51.5
 Switzerland; Galloni,241,39,14.11,46.89
The In Vivo Morphology of Post-Infarct Ventricular Septal Defect and the Implications for Closure,94,39.36,11.7,48.94
Uniform electroactive fibre-like micelle nanowires for organic electronics,231,36.36,12.55,51.08
Not all waits are equal: An exploratory investigation of emergency care patient pathways,215,39.07,12.09,48.84
Are the Fenno-Scandinavian Arctic wetlands a significant regional source of formic acid?,223,35.87,20.63,43.5
Photoprotection: Extending lessons learned from studying natural sunscreens to the design of artificial sunscreen constituents,214,36.92,13.55,49.53
Search for the Decays Bs0 →τ+τ- and B0 →τ+τ-,301,31.89,21.93,46.18
 Polish Academy of Sciences,268,35.07,19.03,45.9
"Assembly, Secretory Pathway Trafficking, and Surface Delivery of Kainate Receptors Is Regulated by Neuronal Activity",220,32.27,8.64,59.09
16S rRNA next generation sequencing analysis shows bacteria in Alzheimer's Post-Mortem Brain,231,42.42,19.05,38.53
The COMET Handbook: Version 1.0,204,30.88,14.71,54.41
Synaptoimmunology - Roles in health and disease,155,38.71,8.39,52.9
Reciprocal analyses in zebrafish and medaka reveal that harnessing the immune response promotes cardiac regeneration,262,22.52,15.65,61.83
Finally making sense of the double-slit experiment,253,33.6,13.04,53.36
Metabolomic profiling of bile acids in clinical and experimental samples of Alzheimer’s disease,129,34.11,21.71,44.19
"Evaluation of coagulopathy before and during induction chemotherapy for acute lymphoblastic leukaemia, including assessment of global clotting tests",145,40,13.1,46.9
Targeting Wnt/β-Catenin Activated Cells with Dominant-Negative N-cadherin to Reduce Neointima Formation,203,35.47,19.21,45.32
Drug Binding Poses Relate Structure with Efficacy in the μ Opioid Receptor,265,19.62,18.49,61.89
Construction of a Chassis for a Tripartite Protein-Based Molecular Motor,241,37.76,16.18,46.06
A high-accuracy map of global terrain elevations,264,28.03,14.39,57.58
HIPred: An integrative approach to predicting haploinsufficient genes,134,33.58,14.18,52.24
Motorboat noise impacts parental behaviour and offspring survival in a reef fish,216,25.93,9.72,64.35
Reproductive fitness and genetic risk of psychiatric disorders in the general population,228,35.53,12.72,51.75
Understanding hydrologic variability across Europe through catchment classification,258,34.11,14.34,51.55
Observation of ηc(2S)→pp¯ and search for X(3872)→pp¯ decays,219,31.51,18.26,50.23
 University of Glasgow,322,41.93,15.53,42.55
Search for CP violation in the phase space of D0 → π+π−π+π− decays,183,38.25,16.39,45.36
 M.,40,37.5,17.5,45
Search for supersymmetry in events with photons and missing transverse energy in pp collisions at 13 TeV,96,33.33,8.33,58.33
 G.,217,44.24,16.59,39.17
Search for dijet resonances in proton–proton collisions at s=13TeV and constraints on dark matter and other models,260,28.46,19.23,52.31
 T.,290,35.17,12.07,52.76
Insights into the classical genetics of Clitopilus passeckerianus - the pleuromutilin producing mushroom,208,34.62,16.83,48.56
Alcohol screening and brief interventions for adults and young people in health and community-based settings: A qualitative systematic literature review,253,29.64,24.51,45.85
Land surface model performance using cosmic-ray and point-scale soil moisture measurements for calibration,206,34.95,18.93,46.12
A novel computer-based set-up to study movement coordination in human ensembles,259,36.68,11.58,51.74
A simple kinematic model for the Lagrangian description of relevant nonlinear processes in the stratospheric polar vortex,222,32.88,17.12,50
The influence of Antarctic subglacial volcanism on the global iron cycle during the Last Glacial Maximum,121,37.19,17.36,45.45
Distinct DNA methylation profiles in subtypes of orofacial cleft,210,37.14,8.57,54.29
Integrative modeling of gene and genome evolution roots the archaeal tree of life,95,29.47,16.84,53.68
Limitations of two-level emitters as nonlinearities in two-photon controlled- phase gates,131,35.11,8.4,56.49
On the applicability of numerical image mapping for PIV image analysis near curved interfaces,219,31.05,15.98,52.97
Adult patients’ experiences of NHS specialist services for chronic fatigue syndrome (CFS/ME): a qualitative study in England,590,33.22,13.73,53.05
Experimental quantum Hamiltonian learning,179,32.96,13.41,53.63
How Can We Understand the Genomic Basis of Nematode Parasitism?,182,38.46,11.54,50
Multiple human tracking in RGB-depth data: A survey,237,29.96,18.57,51.48
Epigenetics and noncommunicable diseases,244,29.1,18.03,52.87
Corrado Alvaro and the Calabrian mafia: a critical case study of the use of literary and journalistic texts in research on Italian organized crime,295,41.36,23.73,34.92
"How do smoking cessation medicines compare with respect to their neuropsychiatric safety? A protocol for a systematic review, network meta-Analysis and cost-effectiveness analysis",155,35.48,13.55,50.97
An Unstable Two-Phase Membrane Problem and Maximum Flux Exchange Flow,322,32.92,18.94,48.14
Automated mask generation for PIV image analysis based on pixel intensity statistics,152,31.58,21.05,47.37
Does milk intake promote prostate cancer initiation or progression via effects on insulin-like growth factors (IGFs)? A systematic review and meta-analysis,622,25.72,15.92,58.36
Saccharomyces cerevisiae Atf1p is an alcohol acetyltransferase and a thioesterase in vitro,257,34.24,15.95,49.81
Transcriptional and Post-transcriptional Gene Regulation by Long Non-coding RNA,173,40.46,12.72,46.82
A humanized HLA-DR4 mouse model for autoimmune myocarditis,165,35.76,11.52,52.73
Deflation versus maintained inflation of gastric band in pregnancy: A national cohort study,82,37.8,12.2,50
Vasopressin V1a receptors mediate the hypertensive effects of [Pyr1]apelin-13 in the rat rostral ventrolateral medulla,202,36.14,13.86,50
The Aviation Paradox: Why We Can ‘Know’ Jetliners But Not Reactors,196,35.2,8.67,56.12
Structured polymer waveguides on distributed Bragg reflector coupling to solid state emitter,305,41.97,14.75,43.28
"Affect, empathy, and engagement: Reading African conflict in the global literary marketplace",305,41.97,14.75,43.28
Atmospheric sampling on ascension island using multirotor UAVs,393,44.78,13.74,41.48
Agreement on what to measure in randomised controlled trials in burn care: Study protocol for the development of a core outcome set,85,31.76,8.24,60
Dynamics of organizational culture: Individual beliefs vs. Social conformity,195,42.05,14.36,43.59
Distributed optimisation and control of graph Laplacian eigenvalues for robust consensus via an adaptive multilayer strategy,53,32.08,7.55,60.38
Centre-level variation in behaviour and the predictors of behaviour in 5-year-old children with non-syndromic unilateral cleft lip: The Cleft Care UK study. Part 5,255,38.04,16.86,45.1
Investigations of the co-doping of boron and lithium into CVD diamond thin films,253,32.02,15.81,52.17
"Comparison of protein expression during wild-type, and E1B-55k-deletion, adenovirus infection using quantitative time-course proteomics",267,31.84,14.23,53.93
Are Quality-Adjusted Life Years a Good Proxy Measure of Individual Capabilities?,408,37.75,13.73,48.53
Centre-level variation of treatment and outcome in 5-year-old children with non-syndromic unilateral cleft lip and palate: The Cleft Care UK study. Part 1: Methodology and results for dento-facial outcomes,461,33.84,19.52,46.64
Factors driving population recovery of the greater horseshoe bat (Rhinolophus ferrumequinum) in the UK: implications for conservation,196,45.92,14.8,39.29
Formal consensus to identify clinically important changes in management resulting from the use of cardiovascular magnetic resonance (CMR) in patients who activate the primary percutaneous coronary intervention (PPCI) pathway,209,38.76,21.05,40.19
Centre-level variation in treatment and outcomes and predictors of outcomes in 5-year-old children with non-syndromic unilateral cleft lip treated within a centralized service: the Cleft Care UK study. Part 6: summary and implications,164,34.15,12.2,53.66
Juggling confidentiality and safety: A qualitative study of how general practice clinicians document domestic violence in families with children,227,36.12,12.33,51.54
Centre-level variation in dental treatment and oral health and individual- and area-level predictors of oral health in 5-year-old children with non-syndromic unilateral cleft lip and palate: the Cleft Care UK study. Part 3,187,41.18,18.18,40.64
"Centre-level variation in speech outcome and interventions, and factors associated with poor speech outcomes in 5-year-old children with non-syndromic unilateral cleft lip and palate: The Cleft Care UK study. Part 4",117,42.74,8.55,48.72
Decreasing cloud cover drives the recent mass loss on the Greenland Ice Sheet,203,34.48,15.27,50.25
Treatments for gestational diabetes: A systematic review and meta-analysis,178,34.27,15.17,50.56
Centre-level variation in outcomes and treatment for otitis media with effusion and hearing loss and the association of hearing loss with developmental outcomes at ages 5 and 7 years in children with non-syndromic unilateral cleft lip and palate: The Cleft Care UK study. Part 2,239,37.24,18.41,44.35
Effects of urinary incontinence on psychosocial outcomes in adolescence,254,34.65,18.9,46.46
"The longitudinal association between external locus of control, social cognition and adolescent psychopathology",222,26.58,13.51,59.91
Financial incentives improve recognition but not treatment of cardiovascular risk factors in severe mental illness,369,32.79,17.07,50.14
Thinning a Triangulation of a Bayesian Network or Undirected Graph to Create a Minimal Triangulation,55,40,23.64,36.36
Disruptive colouration in reef fish: Does matching the background reduce predation risk?,122,38.52,14.75,46.72
"Predictive accuracy of risk scales following self-harm: Multicentre, prospective cohort study",295,33.9,14.92,51.19
Acetylcholine modulates gamma frequency oscillations in the hippocampus by activation of muscarinic M1 receptors,64,37.5,6.25,56.25
Parental alcohol use and risk of behavioral and emotional problems in offspring,209,33.01,6.7,60.29
Analysis of the potential for point-of-care test to enable individualised treatment of infections caused by antimicrobial-resistant and susceptible strains of Neisseria gonorrhoeae: A modelling study,131,38.93,11.45,49.62
Heterogeneity of calcium responses to secretagogues in corticotrophs from male rats,137,29.2,8.76,62.04
"SlgA, encoded by the homolog of the human schizophreniaassociated gene PRODH, acts in clock neurons to regulate Drosophila aggression",173,39.31,14.45,46.24
Atrial arrhythmogenicity of KCNJ2 mutations in short QT syndrome: Insights from virtual human atria,416,31.49,23.56,44.95
City scale climate change policies: Do they matter for wellbeing?,134,42.54,18.66,38.81
Experimentally exploring compressed sensing quantum tomography,254,33.86,11.81,54.33
Estimating the causal influence of body mass index on risk of Parkinson disease: A Mendelian randomisation study,266,29.7,13.91,56.39
Adaptive and non-adaptive models of depression: A comparison using register data on antidepressant medication during divorce,196,37.76,7.65,54.59
Microbes influence the biogeochemical and optical properties of maritime Antarctic snow,162,34.57,15.43,50
An efficient approach for estimating streamflow forecast skill elasticity,313,34.82,18.85,46.33
The role of microRNA-155/liver X receptor pathway in experimental and idiopathic pulmonary fibrosis,169,37.28,12.43,50.3
Evaluation of a chest radiograph reading and recording system for tuberculosis in a HIV-positive cohort,428,32.01,17.06,50.93
Job strain as a risk factor for clinical depression: Systematic review and meta-analysis with additional individual participant data,102,32.35,14.71,52.94
Assessing future vent opening locations at the Somma-Vesuvio volcanic complex: 1. A new information geodatabase with uncertainty characterizations,211,31.28,16.11,52.61
Adding Mirabegron to Solifenacin to Treat Overactive Bladder Has Little Impact on Postvoid Residual Volume or Urinary Retention Risk,237,34.18,18.99,46.84
Effects of increased alcohol availability during adolescence on the risk of all-cause and cause-specific disability pension: a natural experiment,184,40.22,14.13,45.65
Fully gapped superconductivity with no sign change in the prototypical heavy-fermion CeCu2Si2,244,40.98,15.98,43.03
"Child and adolescent health from 1990 to 2015: Findings from the global burden of diseases, injuries, and risk factors 2015 study",154,40.91,11.04,48.05
Assessing future vent opening locations at the Somma-Vesuvio volcanic complex: 2. Probability maps of the caldera for a future Plinian/sub-Plinian event with uncertainty quantification,181,32.6,19.34,48.07
Identifying low density lipoprotein cholesterol associated variants in the Annexin A2 (ANXA2) gene,136,35.29,14.71,50
"Overweight, obesity, and risk of cardiometabolic multimorbidity: pooled analysis of individual-level data for 120 813 adults from 16 cohort studies from the USA and Europe",183,34.97,9.84,55.19
Core outcome measures for interventions to prevent or slow the progress of dementia for people living with mild to moderate dementia: Systematic review and consensus recommendations,185,31.89,15.68,52.43
Whole-Genome Sequencing Coupled to Imputation Discovers Genetic Signals for Anthropometric Traits,265,35.47,18.49,46.04
"Obesity, metabolic factors and risk of different histological types of lung cancer: A Mendelian randomization study",128,35.16,14.06,50.78
"Circulating concentrations of biomarkers and metabolites related to Vitamin status, one-carbon and the kynurenine pathways in US, Nordic, Asian, and Australian populations",268,44.03,11.94,44.03
Measurement of the J/ψ pair production cross-section in pp collisions at √s=13 TeV,252,33.73,13.1,53.17
 T.,153,29.41,24.18,46.41
Observation of the decay Λb 0 → pK − μ + μ − and a search for CP violation,240,40.42,13.33,46.25
 Ecole Polytechnique Fédérale de Lausanne (EPFL),162,44.44,12.35,43.21
Measurements of prompt charm production cross-sections in pp collisions at √s=5 TeV,213,31.92,13.62,54.46
 Lausanne,277,31.41,13.36,55.23
Measurement of electroweak-induced production of Wγ with two jets in pp collisions at √s=8 TeV and constraints on anomalous quartic gauge couplings,202,34.65,13.86,51.49
 III. Physikalisches Institut A,260,27.31,15.77,56.92
Historical greenhouse gas concentrations for climate modelling (CMIP6),256,37.5,10.94,51.56
The beam and Detector of the NA62 experiment at CERN,183,37.16,15.3,47.54
Amazonian forest-savanna bistability and human impact,180,33.89,7.78,58.33
Weather and children's physical activity; How and why do relationships vary between countries?,289,36.33,16.96,46.71
Test beam performance measurements for the Phase i upgrade of the CMS pixel detector,257,25.68,10.51,63.81
 University of Puerto Rico,311,33.44,18.65,47.91
Key data for outbreak evaluation: Building on the ebola experience,244,27.05,22.13,50.82
Heterogeneities in the case fatality ratio in the west African Ebola outbreak 2013–2016,342,43.86,11.7,44.44
"How do population, general practice and hospital factors influence ambulatory care sensitive admissions: A cross sectional study",93,22.58,5.38,72.04
Estimation of the linear mixed integrated Ornstein–Uhlenbeck model,333,34.83,10.21,54.95
Self-affine subglacial roughness: Consequences for radar scattering and basal water discrimination in northern Greenland,246,32.93,16.26,50.81
Role of atmospheric oxidation in recent methane growth,230,37.83,17.39,44.78
Biophysical effects on temperature and precipitation due to land cover change,200,34.5,10,55.5
Vagal determinants of exercise capacity,277,37.55,14.08,48.38
The active muon shield in the SHiP experiment,208,32.21,11.54,56.25
Considering renal risk while managing cancer,165,41.82,12.12,46.06
A birth cohort analysis to study dog walking in adolescence shows no relationship with objectively measured physical activity,486,32.3,16.87,50.82
Constraining the mass balance of East Antarctica,192,39.06,13.02,47.92
Alteration of protein function by a silent polymorphism linked to tRNA abundance,389,31.36,17.99,50.64
Increased ice flow in Western Palmer Land linked to ocean melting,311,38.26,18.01,43.73
An overview of systematic reviews of complementary and alternative therapies for fibromyalgia using both AMSTAR and ROBIS as quality assessment tools,350,31.71,14.86,53.43
Air-water CO2 evasion from US East Coast estuaries,75,30.67,14.67,54.67
Parental Separation and Cardiometabolic Risk Factors in Late Adolescence: A Cross-Cohort Comparison,303,30.36,17.49,52.15
Universality of the third-order phase transition in the constrained Coulomb gas,153,35.95,11.76,52.29
Associations of Early- and Later-Childhood Poverty with Child Cognitive Function in Indonesia: Effect Decomposition in the Presence of Exposure-Induced Mediator-Outcome Confounding,122,33.61,10.66,55.74
Impact of pre-transplant depression on outcomes of allogeneic and autologous hematopoietic stem cell transplantation,216,27.78,19.91,52.31
Calculating hospital length of stay using the Hospital Episode Statistics; a comparison of methodologies,138,33.33,13.04,53.62
Methodological guidelines to study extracellular vesicles,197,36.55,11.17,52.28
BASP1 interacts with oestrogen receptor α and modifies the tamoxifen response,260,28.08,19.62,52.31
Measurement of the Bs0 →μ+μ- Branching Fraction and Effective Lifetime and Search for B0 →μ+μ- Decays,216,36.57,11.57,51.85
 Novosibirsk,175,40,14.29,45.71
"Search for heavy resonances decaying into a vector boson and a Higgs boson in final states with charged leptons, neutrinos, and b quarks",195,36.92,16.92,46.15
 Aachen,273,30.77,19.41,49.82
"Multiplicity and rapidity dependence of strange hadron production in pp, pPb, and PbPb collisions at the LHC",108,32.41,10.19,57.41
 P.,307,36.16,15.64,48.21
Search for narrow resonances in dilepton mass spectra in proton–proton collisions at s=13 TeV and combination with 8 TeV data,249,37.35,6.43,56.22
 K.,284,37.68,19.72,42.61
Study of J /ψ Production in Jets,224,36.16,10.71,53.12
 Poland; Kucharczyk,364,31.32,17.31,51.37
Weather@home 2: Validation of an improved global-regional climate modelling system,360,33.06,17.5,49.44
Health care resource use by patients before and after a diagnosis of chronic fatigue syndrome (CFS/ME): A clinical practice research datalink study,147,34.01,11.56,54.42
Supplementary feeding with nutritional education for caregivers for promoting growth and development in young children in developing countries,278,31.65,11.15,57.19
Aligned discontinuous intermingled reclaimed/virgin carbon fibre composites for high performance and pseudo-ductile behaviour in interlaminated carbon-glass hybrids,519,33.91,9.83,56.26
"Influence of organic compound functionality on aerosol hygroscopicity: Dicarboxylic acids, alkyl-substituents, sugars and amino acids",106,28.3,13.21,58.49
"Itzï (version 17.1): An open-source, distributed GIS model for dynamic flood simulation",521,38.2,15.55,46.26
Comparative costs and activity from a sample of UK clinical trials units,154,40.26,14.29,45.45
Observation of Five New Narrow Ωc0 States Decaying to Ξc+ K-,271,28.04,15.13,56.83
 Germany; Krzemien,204,23.53,12.75,63.73
Patient experiences of outcomes of bariatric surgery: a systematic review and qualitative synthesis,230,41.74,14.35,43.91
Macroevolutionary patterns in Rhynchocephalia: is the tuatara (Sphenodon punctatus) a living fossil?,512,33.2,18.75,48.05
"Is Lhasa Tibetan Sign Language emerging, endangered, or both?",180,26.67,15,58.33
Passive vibration control: A structure-immittance approach,299,26.76,16.72,56.52
The 'One in a Million' study: Creating a database of UK primary care consultations,243,33.74,11.93,54.32
Does measurement invariance hold for the official Mexican multidimensional poverty measure? A state-level analysis 2012,234,32.48,18.38,49.15
Neurosarcoidosis: a clinical approach to diagnosis and management,148,40.54,26.35,33.11
Through babies’ eyes: Practical and theoretical considerations of using wearable technology to measure parent–infant behaviour from the mothers’ and infants’ view points,308,37.99,18.51,43.51
Repurposing the anti-epileptic drug sodium valproate as an adjuvant treatment for diffuse intrinsic pontine glioma,246,35.37,13.01,51.63
Developmental and behavioural associations of burns and scalds in children: A prospective population-based study,109,38.53,22.02,39.45
